experiment_label,solver,tolerance,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"pdhg,1e-8",pdhg,1e-8,nug08-3rd,TERMINATION_REASON_ITERATION_LIMIT,5000,11.23847262,5293.0,213.98478551983575,213.99993506277787,3.531487769899325e-5,0.0002179157319340651,4.321570898924154e-5,0.0,0.0,4.358314638681302e-5,2.160785449462077e-5,0.0,0.0,0.24998919608133388,4.7955066196626825,20.754743626202277
"+restarts,1e-8",+restarts,1e-8,nug08-3rd,TERMINATION_REASON_OPTIMAL,2680,10.270660451,2857.0,213.99999803706422,213.99999962222753,3.6950194093003702e-9,2.812026647076191e-8,5.577179384985698e-9,0.0,0.0,5.6240532941523815e-9,2.788589692492849e-9,0.0,0.0,0.24999999860607888,4.795831481386507,20.754747395605147
"+scaling,1e-8",+scaling,1e-8,nug08-3rd,TERMINATION_REASON_OPTIMAL,3120,10.403649121,3319.0,213.99999787511183,213.9999996471832,4.130702488213467e-9,3.0820456628407855e-8,6.311368982991894e-9,0.0,0.0,6.164091325681571e-9,3.155684491495947e-9,0.0,0.0,0.24999999842215834,4.795831477542094,20.53973106016334
"+primal_weight,1e-8",+primal_weight,1e-8,nug08-3rd,TERMINATION_REASON_OPTIMAL,2480,10.063449409,2647.0,213.9999968365152,214.00000074912066,9.120292476259957e-9,4.588195524957541e-8,9.395640931941784e-9,1.7171587214382343e-7,1.356613532621509e-8,9.176391049915082e-9,4.697820465970892e-9,2.131004326859669e-10,6.288936906317372e-10,0.2499999976510903,4.79583145517467,22.711510804625345
"+step_size,1e-8",+step_size,1e-8,nug08-3rd,TERMINATION_REASON_OPTIMAL,760,7.743715704,820.5,214.0000004055014,214.00000004277214,8.455227330472542e-10,5.832246508434133e-9,1.2058789522484403e-9,9.990664867863686e-9,8.209941615433536e-10,1.1664493016868266e-9,6.029394761242202e-10,1.2398475339420277e-11,3.805933199283214e-11,0.25000000047648385,4.79583153202924,25.790888291829283
